State,19-Jul,19-Aug,19-Sep,19-Oct,19-Nov,19-Dec,20-Jan,20-Feb,20-Mar,20-Apr,20-May,20-Jun,20-Jul,Mandate Source
South Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
South Dakota,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0.935483871,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Vermont,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Virginia,0,0,0,0,0,0,0,0,0,0,0.096774194,1,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Washington,0,0,0,0,0,0,0,0,0,0,0,0.166666667,1,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
West Virginia,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
Wisconsin,0,0,0,0,0,0,0,0,0,0,0,0,0,https://evers.wi.gov/Documents/COVID19/FaceCoveringFAQ.pdf
Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,https://www.usnews.com/news/best-states/articles/these-are-the-states-with-mask-mandates
